8,0.35,-5.05,0,3
5,0.35,-4.70,0,3
7,0.35,-4.33,0,3
4,0.34,-3.97,0,3
3,0.35,-3.59,0,3
32,0.58,-3.39,0,2
31,0.84,-3.59,0,1
30,0.83,-3.95,0,1
29,0.83,-4.31,0,1
34,0.84,-4.67,0,1
9,0.84,-5.05,0,1
0,-0.12,-1.13,0,0
1,0.24,-1.13,0,0
2,0.77,-0.61,0,1
39,0.76,-0.25,0,1
24,1.39,-2.21,0,3
25,1.93,-1.69,0,2
22,2.45,-2.25,0,1
23,1.91,-2.76,0,0
10,3.74,-4.07,0,3
6,3.52,-3.70,0,3
11,3.51,-3.34,0,3
20,3.52,-2.99,0,3
12,3.64,-2.59,0,3
38,1.30,0.303,0,0
37,2.05,0.53,0,0
36,2.92,0.297,0,0
21,3.89,-2.08,0,3
33,3.91,-1.52,0,3
27,3.91,-0.98,0,3
28,3.90,-0.41,0,3
35,3.60,0.32,0,0
